key,issueType,sprint,status,summary,description,storyPoint,priority,watchcount,fixVersions,affectedVersions,assignee,creator,reporter,commentCount,votes,issueLinks,blockedBy,blocks,dependedOnBy,dependedOn,subtasks
AURORA-350,Story,7,Resolved,Parallelize updates to speed up deploys,"The way aurora deploy works inherently contributes to depressed deploy speeds.Aurora deploy like cap/TCU uses the ""batch"" model. You have 100 things you loop in a batch of N at a time. You restart N things all at once those N things come back online all at once (cold) you wait for the all of them to become available and repeat.Disadvantages:- you can proceed no faster than the slowest guy in the batch. If one instance is ""stuck"" or slow the whole deploy slows down.- The speed at which your deploy is bounded by your success rate which is bounded by the number of instances currently online but serving below par due to warmup (because computers). The batch methodology maximizes this effect because the restarted shards tend to come back online all at the same time.Let's say a full cycle of shutdown reschedule restart wait-for-online-and-good takes 2 minutes but the ""bad time"" is only 15 seconds. If we do these 8 at a time we have a period where 8 boxes are bad for 15 seconds. That's a big success rate spike. What if we were able to 8 of these in parallel such that only one of them is bad at any given moment. It's the same speed (all other things being equal) but the impact is much less. We could leverage that to make the deploy go even faster.It's easy to see that we could speed deploys up by 2x or more by using an algorithm which minimizes the number of instances starting at any given time but still proceeds quickly in parallel.Aurora should be rewritten to use a thread-based deploy model. You have 100 things and N threads. The main thread dispatches (in a blocking fashion if no threads are ready) restart tasks to each thread in a user-set rate-limited fashion (e.g. no more than one per 15 seconds) which is defined by your per instance warmup time (the time an instance is listening/serving but slow). Each thread then restarts one instance waits it to come back healthy and reports done/failure/etc. Continue until the list is exhausted.This way you have a steady stream of single instances coming online with no clumping of restarts and if any one gets hung up or slow it doesn't significantly impact the speed of the deploy (you can ""overprovision"" the number of threads). You can also retain most of the current deploy semantics around failure counts retry intervals etc.",null,3,1,1,0,Maxim Khutornenko,Maxim Khutornenko,Maxim Khutornenko,2,0,1,1,1,0,0,0
AURORA-149,Story,7,Resolved,python code should have a checkstyle run as part of the build,null,null,3,4,1,0,Brian Wickman,Jake Farrell,Jake Farrell,4,0,0,0,0,0,0,0
AURORA-421,Task,7,Resolved,H2-backed implementation of QuotaStore,null,null,3,1,1,0,Bill Farner,Bill Farner,Bill Farner,1,0,0,0,0,0,0,0
AURORA-433,Task,7,Resolved,Write a design doc describing the aurora shorthands and init files.,null,null,3,1,1,0,Mark Chu-Carroll,Mark Chu-Carroll,Mark Chu-Carroll,1,0,0,0,0,0,0,0
AURORA-335,Task,7,Resolved,H2-backed implementation of LockStore,null,null,3,3,1,0,David McLaughlin,Bill Farner,Bill Farner,3,0,0,0,0,0,0,0
AURORA-342,Story,7,Resolved,Remove the non-HTTP thrift port,We don't gain much by serving thrift over two protocols.  HTTP satisfies more use cases so i suggest we allow that to win.,null,4,1,1,0,Bill Farner,Bill Farner,Bill Farner,1,0,0,0,0,0,0,0
AURORA-417,Task,7,Resolved,Add API calls needed for new client cron commands,For the aurora client we're separating the client commands to run and kill a job from the client commands to enter and remove a job from the cron schedule. To support this we need to be able to send a request to the scheduler to enter jobs in the cron schedule without running them.,null,3,1,1,0,Mark Chu-Carroll,Mark Chu-Carroll,Mark Chu-Carroll,1,0,1,1,1,0,0,0
AURORA-438,Story,7,Resolved,Turn on JSHint check during build,Force JSHint failures to break the build. Requires making all existing JS pass the JSHint task currently in Gradle. ,null,3,1,1,0,David McLaughlin,David McLaughlin,David McLaughlin,1,0,0,0,0,0,0,0
AURORA-442,Bug,7,Resolved,Admin SLA commands should be resilient to task queries producing no result,The getTasksStatus RPC results in INVALID_REQUEST when the provided query does not generate any match. Changing the RPC to return an empty result would not make much sense as it would make client logic more complicated elsewhere. The admin sla commands should ignore the error case and produce empty output instead.,null,3,1,1,0,Maxim Khutornenko,Maxim Khutornenko,Maxim Khutornenko,1,0,0,0,0,0,0,0
AURORA-411,Bug,7,Resolved,On job page 'Running duration' is always 'a few seconds',"Despite jobs running for several hours this column appears to always display ""a few seconds"".",null,3,2,1,0,Suman Karumuri,Bill Farner,Bill Farner,1,0,0,0,0,0,0,0
AURORA-381,Task,7,Resolved,Add a Navbar with Aurora logo on every page,Add a Nav bar with an aurora logo on every page.,null,3,2,1,0,Suman Karumuri,Suman Karumuri,Suman Karumuri,3,0,0,0,0,0,0,0
AURORA-228,Story,7,Resolved,Consider using gradle javascript plugin,http://eriwen.github.io/gradle-js-plugin/This might be a step in the right direction to make the JS part of our build more first-class.,null,5,2,1,0,David McLaughlin,Bill Farner,Bill Farner,4,0,0,0,0,0,0,0
AURORA-384,Story,7,Resolved,Remove cron jobs table from /role page,Remove cron job table from role and role/env page. Show cron jobs just like other jobs. Show the cron job config in the job page. Currently we throw an exception when a job has no tasks. Update the getTasks API so we just return an empty task list instead of throwing an job not found exception. [~wfarner] [~mchucarroll] Can you please weigh in on this. ,null,3,3,1,0,Suman Karumuri,Suman Karumuri,Suman Karumuri,3,0,0,0,0,0,0,0
AURORA-410,Bug,7,Resolved,MetricCalculator thread should block until storage is ready,The SLA stats MetricCalculator thread does not wait until the storage is ready and attempts to run on a non-leading scheduler. This results in the executor thread death and inability to pick up SLA stat calculation on leader change.,null,1,1,1,0,Maxim Khutornenko,Maxim Khutornenko,Maxim Khutornenko,1,0,0,0,0,0,0,0
AURORA-368,Bug,7,Resolved,newer pants/commons lib break aurora packaging,Ever since pants and commons library were upgraded we are unable to package gc_executor binary. If it matter we are using OEL6 with py26. Refer to attachment for PANTS_VERBOSE output.https://github.com/apache/incubator-aurora/commit/ddd2329eaefa780a680ed34e1aecb9c5240f03ddIt complain following error:{code}Untranslateable: Package SourcePackage(u'http://protobuf.googlecode.com/files/protobuf-2.5.0.tar.gz') is not translateable.{code},null,3,3,1,1,Brian Wickman,Bhuvaneswaran A,Bhuvaneswaran A,12,0,0,0,0,0,0,0
AURORA-404,Task,7,Resolved,Validate values between UpdateConfig and HealthCheckConfig,With the adoption of server-side health checks and finally honoring initial_interval_secs in the job update we need to put some basic validation in place to make sure the dependencies are sane. Specifically watch_secs > initial_interval_secs.,null,3,1,1,0,Maxim Khutornenko,Maxim Khutornenko,Maxim Khutornenko,1,0,0,0,0,0,0,0
