projectID,sprintId,status,storyId,issueKey,summary,priorityId,assignee,initialStoryPoint,currentStoryPoint
37,7,Completed,12696742,AURORA-228,Consider using gradle javascript plugin,5,davmclau,0,0
37,7,Completed,12711065,AURORA-368,newer pants/commons lib break aurora packaging,3,wickman,0,0
37,7,Completed,12712400,AURORA-378,Add config grouping visualisation to job page,3,davmclau,0,0
37,7,Completed,12712483,AURORA-381,Add a Navbar with Aurora logo on every page,3,mansu,0,0
37,7,Completed,12712487,AURORA-384,Remove cron jobs table from /role page,3,mansu,0,0
37,7,Completed,12713402,AURORA-404,Validate values between UpdateConfig and HealthCheckConfig,3,maximk,0,0
37,7,Completed,12713427,AURORA-406,SLA stats should not be in internal TSDB,2,maximk,0,0
37,7,Completed,12713679,AURORA-410,MetricCalculator thread should block until storage is ready,1,maximk,0,0
37,7,Completed,12713680,AURORA-411,On job page  'Running duration' is always 'a few seconds',3,mansu,0,0
37,7,NotCompletedWithinSprint,12692581,AURORA-149,python code should have a checkstyle run as part of the build,3,wickman,0,0
37,7,NotCompletedWithinSprint,12709614,AURORA-335,H2-backed implementation of LockStore,3,davmclau,0,0
37,7,NotCompletedWithinSprint,12709827,AURORA-342,Remove the non-HTTP thrift port,4,wfarner,0,0
37,7,NotCompletedWithinSprint,12710194,AURORA-350,Parallelize updates to speed up deploys,3,maximk,0,0
37,7,NotCompletedWithinSprint,12713932,AURORA-417,Add API calls needed for new client cron commands,3,mchucarroll,0,0
37,7,NotCompletedWithinSprint,12714304,AURORA-421,H2-backed implementation of QuotaStore,3,wfarner,0,0
37,7,NotCompletedWithinSprint,12714549,AURORA-433,Write a design doc describing the aurora shorthands and init files.,3,mchucarroll,0,0
37,7,NotCompletedWithinSprint,12714685,AURORA-438,Turn on JSHint check during build,3,davmclau,0,0
37,7,NotCompletedWithinSprint,12714885,AURORA-442,Admin SLA commands should be resilient to task queries producing no result,3,maximk,0,0
37,7,Punted,12713646,AURORA-407,"Implement clientv2 ""cron"" noun.",3,mchucarroll,0,0
37,7,Punted,12713647,AURORA-408,"Update client ""job"" commands to remove cron-related behavior.",3,mchucarroll,0,0
37,7,Punted,12713704,AURORA-415,H2-backed implementation of JobStore,3,wfarner,0,0
37,11,Completed,12709614,AURORA-335,H2-backed implementation of LockStore,3,davmclau,0,0
37,11,Completed,12709827,AURORA-342,Remove the non-HTTP thrift port,4,wfarner,0,0
37,11,Completed,12712651,AURORA-390,UI should be able to query any scheduler backend,3,mansu,0,0
37,11,Completed,12713646,AURORA-407,"Implement clientv2 ""cron"" noun.",3,mchucarroll,0,0
37,11,Completed,12713932,AURORA-417,Add API calls needed for new client cron commands,3,mchucarroll,0,0
37,11,Completed,12714375,AURORA-425,Merge Active and completed tasks on job page into a single table,3,mansu,0,0
37,11,Completed,12714685,AURORA-438,Turn on JSHint check during build,3,davmclau,0,0
37,11,Completed,12714881,AURORA-441,Add grouping option into admin SLA commands,3,maximk,0,0
37,11,Completed,12714885,AURORA-442,Admin SLA commands should be resilient to task queries producing no result,3,maximk,0,0
37,11,Completed,12714908,AURORA-446,Remove --groups_per_batch option from the perform_maintenace_hosts,3,maximk,0,0
37,11,Completed,12715190,AURORA-447,Cron changes broke python thrift test,3,kevints,0,0
37,11,Completed,12715270,AURORA-449,Upgrade to Bootstrap 3,3,mansu,0,0
37,11,Completed,12715609,AURORA-452,End-to-end tests fail on release distributions,1,wfarner,0,0
37,11,Completed,12716925,AURORA-479,Drop restart_threshold > watch_secs validation in UpdateConfig,3,maximk,0,0
37,11,Completed,12717102,AURORA-484,"Add a ""developing aurora client"" document.",3,mchucarroll,0,0
37,11,NotCompletedWithinSprint,12688318,AURORA-31,Support an authentication mechanism for client-scheduler communication,3,null,0,0
37,11,NotCompletedWithinSprint,12692581,AURORA-149,python code should have a checkstyle run as part of the build,3,wickman,0,0
37,11,NotCompletedWithinSprint,12710194,AURORA-350,Parallelize updates to speed up deploys,3,maximk,0,0
37,11,NotCompletedWithinSprint,12713647,AURORA-408,"Update client ""job"" commands to remove cron-related behavior.",3,mchucarroll,0,0
37,11,NotCompletedWithinSprint,12714304,AURORA-421,H2-backed implementation of QuotaStore,3,wfarner,0,0
37,11,NotCompletedWithinSprint,12714549,AURORA-433,Write a design doc describing the aurora shorthands and init files.,3,mchucarroll,0,0
37,11,NotCompletedWithinSprint,12717530,AURORA-496,Modify config binding helper registration in clientv2,3,mchucarroll,0,0
37,11,Punted,12692101,AURORA-142,Remove getVersion API from client,3,wfarner,0,0
37,11,Punted,12704169,AURORA-296,Move all the JS dependencies into a single location,3,null,0,0
37,11,Punted,12715571,AURORA-451,Set up test infrastructure for the UI,3,null,0,0
37,13,NotCompletedWithinSprint,12720440,AURORA-520,"Update ""aurora job diff""",3,null,0,0
37,15,Completed,12692581,AURORA-149,python code should have a checkstyle run as part of the build,3,wickman,0,0
37,15,Completed,12708111,AURORA-318,Improve documentation and unit testing for Host Maintenance API,4,yasumoto,0,0
37,15,Completed,12709912,AURORA-347,CLI should surface information about locks,4,maximk,0,0
