sprintId,sprintName,sprintState,sprintStartDate,sprintEndDate,sprintCompleteDate,totalNumberOfIssues,completedIssuesCount,issuesNotCompletedInCurrentSprint,puntedIssues,issuesCompletedInAnotherSprint,issueKeysAddedDuringSprint,completedIssuesInitialEstimateSum,completedIssuesEstimateSum,puntedIssuesInitialEstimateSum,puntedIssuesEstimateSum,issuesNotCompletedInitialEstimateSum,issuesNotCompletedEstimateSum,issuesCompletedInAnotherSprintInitialEstimateSum,issuesCompletedInAnotherSprintEstimateSum,NoOfDevelopers,SprintLength
43,Twitter Q4 Sprint 1,CLOSED,6-Oct-14,20-Oct-14,20-Oct-14,1,0,1,0,0,0,0,0,0,0,3,3,0,0,1,14
49,Twitter Mesos Q4 Sprint 2,CLOSED,21-Oct-14,4-Nov-14,3-Nov-14,1,0,1,0,0,0,0,0,0,0,3,3,0,0,1,13
51,Twitter Mesos Q4 Sprint 3,CLOSED,3-Nov-14,17-Nov-14,17-Nov-14,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,14
219,Mesosphere Sprint 28,CLOSED,1-Feb-16,15-Feb-16,16-Feb-16,2,0,2,0,0,0,0,0,0,0,11,11,0,0,2,15
227,Mesosphere Sprint 31,CLOSED,15-Mar-16,29-Mar-16,30-Mar-16,1,1,0,0,0,1,0,3,0,0,0,0,0,0,1,14
257,Mesosphere Sprint 45,CLOSED,13-Oct-16,27-Oct-16,28-Oct-16,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,15
277,Mesosphere Sprint 52,CLOSED,17-Feb-17,3-Mar-17,23-Mar-17,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,34
287,Mesosphere Sprint 58,CLOSED,8-Jun-17,22-Jun-17,7-Jul-17,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,29
292,Mesosphere Sprint 59,CLOSED,6-Jul-17,20-Jul-17,21-Jul-17,2,0,2,0,0,2,0,0,0,0,6,6,0,0,2,15
293,Mesosphere Sprint 60,CLOSED,20-Jul-17,3-Aug-17,7-Aug-17,2,0,2,0,0,2,0,0,0,0,3,3,0,0,2,18
304,Mesosphere Sprint 61,CLOSED,3-Aug-17,17-Aug-17,18-Aug-17,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,15
308,Mesosphere Sprint 62,CLOSED,17-Aug-17,31-Aug-17,6-Sep-17,1,0,1,0,0,1,0,0,0,0,5,5,0,0,1,19
315,Mesosphere Sprint 63,CLOSED,1-Sep-17,15-Sep-17,19-Sep-17,1,0,1,0,0,1,0,0,0,0,5,5,0,0,1,19
318,Mesosphere Sprint 64,CLOSED,14-Sep-17,28-Sep-17,29-Sep-17,1,0,1,0,0,1,0,0,0,0,5,5,0,0,1,14
323,Mesosphere Sprint 66,CLOSED,12-Oct-17,26-Oct-17,30-Oct-17,2,0,2,0,0,2,0,0,0,0,10,10,0,0,2,18
324,Mesosphere Sprint 67,CLOSED,26-Oct-17,9-Nov-17,13-Nov-17,1,0,1,0,0,1,0,0,0,0,5,5,0,0,1,17
326,Mesosphere Sprint 68,CLOSED,10-Nov-17,24-Nov-17,27-Nov-17,1,0,1,0,0,1,0,0,0,0,5,5,0,0,1,18
327,Mesosphere Sprint 69,CLOSED,23-Nov-17,7-Dec-17,8-Dec-17,2,1,1,0,0,2,3,3,0,0,5,5,0,0,2,15
331,Mesosphere Sprint 70,CLOSED,7-Dec-17,21-Dec-17,22-Dec-17,1,0,1,0,0,1,0,0,0,0,5,5,0,0,1,14
342,Mesosphere Sprint 75,CLOSED,15-Feb-18,1-Mar-18,3-Mar-18,1,0,1,0,0,0,0,0,0,0,0,8,0,0,1,16
344,Mesosphere Sprint 76,CLOSED,8-Mar-18,29-Mar-18,30-Mar-18,1,0,1,0,0,0,0,0,0,0,8,8,0,0,1,22
350,Mesosphere Sprint 77,CLOSED,29-Mar-18,12-Apr-18,12-Apr-18,1,0,1,0,0,1,0,0,0,0,5,5,0,0,1,14
354,Mesosphere Sprint 78,CLOSED,12-Apr-18,26-Apr-18,30-Apr-18,1,1,0,0,0,0,5,5,0,0,0,0,0,0,1,18
360,Mesosphere Sprint 2018-20,CLOSED,10-May-18,24-May-18,25-May-18,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1,15
369,Mesosphere Sprint 2018-23,CLOSED,21-Jun-18,5-Jul-18,5-Jul-18,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,14
372,Mesosphere Sprint 2018-24,CLOSED,5-Jul-18,19-Jul-18,19-Jul-18,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,14
379,Mesosphere Sprint 2018-25,CLOSED,19-Jul-18,2-Aug-18,2-Aug-18,1,0,1,0,0,1,0,0,0,0,3,5,0,0,1,14
382,Mesosphere Sprint 2018-26,CLOSED,2-Aug-18,16-Aug-18,16-Aug-18,1,0,1,0,0,1,0,0,0,0,5,5,0,0,1,14
388,Mesosphere Sprint 2018-27,CLOSED,16-Aug-18,30-Aug-18,30-Aug-18,1,0,1,0,0,1,0,0,0,0,5,3,0,0,1,14
392,Mesosphere Sprint 2018-28,CLOSED,30-Aug-18,13-Sep-18,15-Sep-18,4,1,1,1,0,2,3,3,3,3,3,3,0,0,3,16
396,Mesosphere Sprint 2018-29,CLOSED,13-Sep-18,27-Sep-18,27-Sep-18,3,0,1,1,0,1,0,0,0,3,3,3,0,0,2,14
402,Mesosphere RI-6 Sprint 2018-30,CLOSED,27-Sep-18,11-Oct-18,15-Oct-18,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,18
403,Mesosphere RI-6 Sprint 2018-31,CLOSED,11-Oct-18,25-Oct-18,25-Oct-18,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,14
437,Mesos Foundations R8 Sprint 35,CLOSED,6-Dec-18,20-Dec-18,20-Dec-18,1,0,1,0,0,1,0,0,0,0,0,3,0,0,1,14
440,Resource Mgmt R8 Sprint 35,CLOSED,6-Dec-18,20-Dec-18,19-Dec-18,1,0,1,0,0,0,0,0,0,0,2,2,0,0,1,13
445,Mesos Foundations R9 Sprint 36,CLOSED,20-Dec-18,3-Jan-19,2-Jan-19,1,0,1,0,0,0,0,0,0,0,3,3,0,0,1,14
448,Mesos Foundations R9 Sprint 37,CLOSED,2-Jan-19,16-Jan-19,17-Jan-19,2,0,2,0,0,0,0,0,0,0,6,6,0,0,2,14
463,Mesos Foundations R10 Sp 38,CLOSED,17-Jan-19,31-Jan-19,30-Jan-19,2,0,2,0,0,0,0,0,0,0,5,5,0,0,2,14
465,Containerization RI10 Spr 38,CLOSED,16-Jan-19,24-Jan-19,30-Jan-19,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,14
478,Mesos Foundations RI11 Sp 40,CLOSED,14-Feb-19,28-Feb-19,27-Feb-19,1,0,1,0,0,0,0,0,0,0,5,5,0,0,1,14
479,Mesos Foundations RI11 Sp 41,CLOSED,27-Feb-19,13-Mar-19,13-Mar-19,1,0,1,0,0,0,0,0,0,0,5,5,0,0,1,14
482,Storage R11 Sprint 40,CLOSED,13-Feb-19,21-Feb-19,28-Mar-19,1,0,1,0,0,1,0,0,0,0,3,3,0,0,1,43
491,Containerization RI12 Sp 43,CLOSED,27-Mar-19,10-Apr-19,10-Apr-19,1,0,1,0,0,0,0,0,0,0,3,3,0,0,1,14
494,Mesos Integration RI12 Sp 43,CLOSED,28-Mar-19,5-Apr-19,11-Apr-19,1,0,1,0,0,0,0,0,0,0,2,2,0,0,1,14
503,Storage: RI-13 Sprint 44,CLOSED,10-Apr-19,24-Apr-19,24-Apr-19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14
