key,issueType,sprint,status,summary,description,storyPoint,priority,watchcount,fixVersions,affectedVersions,assignee,creator,reporter,commentCount,votes,issueLinks,blockedBy,blocks,dependedOnBy,dependedOn,subtasks
MESOS-1807,Improvement,43,Accepted,Disallow executors with cpu only or memory only resources,Currently master allows executors to be launched with either only cpus or only memory but we shouldn't allow that.This is because executor is an actual unix process that is launched by the slave. If an executor doesn't specify cpus what should the cpu limits be for that executor when there are no tasks running on it? If no cpu limits are set then it might starve other executors/tasks on the slave violating isolation guarantees. Same goes with memory. Moreover the current containerizer/isolator code will throw failures when using such an executor e.g. when the last task on the executor finishes and Containerizer::update() is called with 0 cpus or 0 mem.According to a source code [TODO | https://github.com/apache/mesos/blob/0226620747e1769434a1a83da547bfc3470a9549/src/master/validation.cpp#L400] this should also include checking whether requested resources are greater than  MIN_CPUS/MIN_BYTES.,3,3,19,0,0,null,Vinod Kone,Vinod Kone,21,0,4,1,1,0,0,0
MESOS-1807,Improvement,49,Accepted,Disallow executors with cpu only or memory only resources,Currently master allows executors to be launched with either only cpus or only memory but we shouldn't allow that.This is because executor is an actual unix process that is launched by the slave. If an executor doesn't specify cpus what should the cpu limits be for that executor when there are no tasks running on it? If no cpu limits are set then it might starve other executors/tasks on the slave violating isolation guarantees. Same goes with memory. Moreover the current containerizer/isolator code will throw failures when using such an executor e.g. when the last task on the executor finishes and Containerizer::update() is called with 0 cpus or 0 mem.According to a source code [TODO | https://github.com/apache/mesos/blob/0226620747e1769434a1a83da547bfc3470a9549/src/master/validation.cpp#L400] this should also include checking whether requested resources are greater than  MIN_CPUS/MIN_BYTES.,3,3,19,0,0,null,Vinod Kone,Vinod Kone,21,0,4,1,1,0,0,0
MESOS-1807,Improvement,51,Accepted,Disallow executors with cpu only or memory only resources,Currently master allows executors to be launched with either only cpus or only memory but we shouldn't allow that.This is because executor is an actual unix process that is launched by the slave. If an executor doesn't specify cpus what should the cpu limits be for that executor when there are no tasks running on it? If no cpu limits are set then it might starve other executors/tasks on the slave violating isolation guarantees. Same goes with memory. Moreover the current containerizer/isolator code will throw failures when using such an executor e.g. when the last task on the executor finishes and Containerizer::update() is called with 0 cpus or 0 mem.According to a source code [TODO | https://github.com/apache/mesos/blob/0226620747e1769434a1a83da547bfc3470a9549/src/master/validation.cpp#L400] this should also include checking whether requested resources are greater than  MIN_CPUS/MIN_BYTES.,3,3,19,0,0,null,Vinod Kone,Vinod Kone,21,0,4,1,1,0,0,0
MESOS-4393,Task,219,Accepted,Draft design document for resource revocability by default.,"Create a design document for setting offered resources as ""revocable by default"". Greedy frameworks can then temporarily use resources set aside to satisfy quota.",8,3,4,0,0,null,Bernd Mathiske,Bernd Mathiske,0,0,0,0,0,0,0,0
MESOS-4443,Improvement,219,Open,Refactor allocator recovery.,Allocator recovery code can be improved for readability. [~bmahler] left some thoughts about it in https://reviews.apache.org/r/42222/.,3,3,2,0,0,null,Alex R,Alex R,0,0,1,0,0,0,0,0
MESOS-4985,Bug,227,Resolved,Destroy a container while it's provisioning can lead to leaked provisioned directories.,Here is the possible sequence of events:1) containerizer->launch2) provisioner->provision is called. it is fetching the image3) executor registration timed out4) containerizer->destroy is called5) container->state is still in PREPARING6) provisioner->destroy is calledSo we can be calling provisioner->destory while provisioner->provision hasn't finished yet. provisioner->destroy might just skip since there's no information about the container yet and later provisioner will prepare the root filesystem. This root filesystem will not be destroyed as destroy already finishes.,3,2,3,1,1,Gilbert Song,Jie Yu,Jie Yu,2,0,1,0,0,0,0,0
MESOS-6405,Improvement,257,Accepted,Benchmark call ingestion path on the Mesos master.,[~drexin] reported on the user mailing [list|http://mail-archives.apache.org/mod_mbox/mesos-user/201610.mbox/%3C6B42E374-9AB7-4444-A315-A6558753E08B%40apple.com%3E] that there seems to be a significant regression in performance on the call ingestion path on the Mesos master wrt to the scheduler driver (v0 API). We should create a benchmark to first get a sense of the numbers and then go about fixing the performance issues. ,3,2,13,0,0,Anand Mazumdar,Anand Mazumdar,Anand Mazumdar,7,1,0,0,0,0,0,0
MESOS-7216,Bug,277,Resolved,Delayed executor termination leads to test failures,This bug came up during the development of a test for the new COMMAND health checks that use nested containers. The test can be found here: https://reviews.apache.org/r/55901/.The test setup was explained in MESOS-7050:1) Start the scheduler driver2) Laun,null,3,3,0,0,Gast├│n Kleiman,Gast├│n Kleiman,Gast├│n Kleiman,2,0,1,0,0,0,0,0
MESOS-7747,Improvement,287,Reviewable,Improve metrics around active subscribers.,Active subscribers to e.g. Mesos streaming API may influence Mesos master performance. To improve triaging and having a better understanding of master workload we should add metrics to track active subscribers send queue size and so on.,3,3,1,0,0,null,Alex R,Alex R,1,0,0,0,0,0,0,0
MESOS-7434,Bug,287,Accepted,SlaveTest.RestartSlaveRequireExecutorAuthentication is flaky.,This test failure has been observed on an internal CI system. It occurs on a variety of Linux distributions. It seems that using {{cat}} as the task command may be problematic; see attached log file {{SlaveTest.RestartSlaveRequireExecutorAuthentication.txt}}.,5,3,4,0,0,null,Greg Mann,Greg Mann,4,0,1,0,0,0,0,0
