key,issueType,sprint,status,summary,description,storyPoint,priority,watchcount,fixVersions,affectedVersions,assignee,creator,reporter,commentCount,votes,issueLinks,blockedBy,blocks,dependedOnBy,dependedOn,subtasks
XD-6,Story,1,Done,Channel Registry,null,3,4,2,1,0,David Turanski,Mark Pollack,Mark Pollack,1,0,1,0,0,0,0,2
XD-32,Technical task,1,Done,Create base Channel Registry abstraction,Define the ChannelRegistry interface.,0,3,3,1,0,Mark Fisher,Mark Fisher,Mark Fisher,1,0,0,0,0,0,0,0
XD-33,Technical task,1,Done,Implement LocalChannelRegistry,This should be usable within a single JVM process.Lives within shared application context of the process.,0,4,2,1,0,David Turanski,Mark Fisher,Mark Fisher,1,0,0,0,0,0,0,0
XD-7,Story,1,Done,Tuple data structure,The tuple data structure should be backward compatible in functionality for use in spring batch.  Porting over FieldSet tests in spring batch to use the tuple data structure is one way help ensure that compatibility.,1,4,1,1,0,Mark Pollack,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-20,Story,1,Done,DIRT Runtime that deploys an application context across multiple nodes using redis.,null,3,3,1,1,0,Mark Fisher,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,3
XD-22,Technical task,1,Done,Create Module base abstractions,A module groups together a collection of spring configuration files.,0,3,1,1,0,Mark Fisher,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-39,Technical task,1,Done,Add integration capability to the runtime nodes,null,0,4,2,1,0,Mark Fisher,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-42,Technical task,1,Done,RedisChannelRegistry,null,0,4,1,1,0,Mark Fisher,Mark Fisher,Mark Fisher,0,0,0,0,0,0,0,0
XD-8,Story,1,Done,Syslog Ingestion,Have a syslog.xml config file that can be added to a module and registered with a module registry.,1,4,2,1,0,Gary Russell,Mark Pollack,Mark Pollack,0,0,1,0,0,1,1,1
XD-21,Technical task,1,Done,Create syslog.xml file for module registry,Consider which properties of the syslog namespace need to use property placeholders,null,4,2,1,0,Mark Fisher,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-24,Story,1,Done,Create pipes and filters DSL for ingestion,Initial simple handcoded implementation for straight through pipe and filter model e.g. a | b | c,2,4,2,1,0,Mark Fisher,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-28,Story,1,Done,Create simple gague service,A gauge just stores a number.  Implementations for in-memory and redis.,1,3,2,1,0,Mark Pollack,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-30,Story,1,Done,Create a simple counter service,A simple counters can increment/decrement a number.  Implementations for in-memory and redis.,1,3,1,1,0,Mark Pollack,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-35,Story,1,Done,Create CI process for XD build,bamboo based,1,2,2,1,0,Gunnar Hillert,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-37,Story,1,Done,Gradle based multi-project build,multi project build. - look to Spring Framework for source of starting point.,2,2,2,1,0,Thomas Risberg,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-40,Story,1,Done,Build script that creates an executable server as an artifact,Gradle application plugin is a good starting point.  this should be the main server that would host SI based modules to do syslog->file ingestion (as an example),2,4,2,1,0,Mark Fisher,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-41,Bug,1,Done,Add JUnit @Rule so Tests Fail Fast with Clear Messaging if Redis Not Available,null,1,4,2,1,0,Gary Russell,Gary Russell,Gary Russell,3,0,0,0,0,0,0,0
XD-1,Story,3,Done,HDFS ItemWriter,Base integration of core HDFS writer functionality with Spring Batch.,1,4,2,1,0,Michael Minella,Mark Pollack,Mark Pollack,2,0,0,0,0,0,0,0
XD-44,Story,3,Done,Redis based repositories should use a NamingStrategy class to calculate the name of the key to use for persistence,RedisCounterRepository and RedisGaugeRepository have duplicated code that needs to be factored out into a one place.  One such duplication is the determination of the key name to use for persistence.  This should be abstracted out into a strategy helper class.,1,4,1,1,0,Luke Taylor,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-23,Story,3,Done,add file source and sink modules,null,1,4,2,1,0,Mark Fisher,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-47,Story,3,Done,HDFS sink module,null,1,3,1,1,0,Mark Fisher,Mark Fisher,Mark Fisher,1,0,0,0,0,0,0,0
XD-48,Story,3,Done,Parameterizable streams,null,2,3,1,1,0,Mark Fisher,Mark Fisher,Mark Fisher,1,0,1,0,0,0,0,0
XD-50,Story,3,Done,Add tap support to DIRT,syntax:{code}tap @ somechannel --key=value | somecounter{code},2,3,1,1,0,Mark Fisher,Mark Fisher,Mark Fisher,1,0,0,0,0,0,0,0
XD-51,Story,3,Done,Add xd.stream.name property in StreamPlugin,null,1,4,1,1,0,Mark Fisher,Mark Fisher,Mark Fisher,1,0,0,0,0,0,0,0
XD-52,Story,3,Done,add twitter search source module,null,1,4,1,1,0,Mark Fisher,Mark Fisher,Mark Fisher,1,0,0,0,0,0,0,0
XD-54,Story,3,Done,XD Metrics backed Message Counter,A Spring Integration based @ServiceActivator that counts the number of messages using the Spring XD metrics support,1,4,1,1,0,Mark Pollack,Mark Pollack,Mark Pollack,0,0,1,0,0,1,1,0
XD-57,Story,3,Done,add counter module,null,1,4,1,1,0,Mark Fisher,Mark Fisher,Mark Fisher,1,0,1,0,0,1,1,0
XD-29,Story,4,Done,Create rich gauge service,A rich gauge stores a number and also rmd min max. Implementations for in-memory and redis.,5,3,1,1,0,Luke Taylor,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-13,Story,4,Done,Tail file channel adapters,null,8,4,1,1,0,Gary Russell,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-43,Story,4,Done,Metric repositories should support Spring Data CrudRepository interface,This provides common CRUD behavior and a shared interface that can be useful in testing scenarios.  ,5,4,1,1,0,Luke Taylor,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-9,Story,4,Done,Basic implementation of a reactor based tcp server,null,13,4,2,1,0,Gary Russell,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-62,Story,4,Done,Use the tuple data structure to process data in a spring batch step ,Do not require a POJO in order to do end-to-end processing in a batch step.,5,4,1,1,0,Michael Minella,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
