projectID,sprintId,status,storyId,issueKey,summary,priorityId,assignee,initialStoryPoint,currentStoryPoint
43,1,Completed,48125,XD-6,Channel Registry,4,dturanski,0,3
43,1,Completed,48126,XD-7,Tuple data structure,4,mark.pollack,0,1
43,1,Completed,48127,XD-8,Syslog Ingestion,4,grussell,0,1
43,1,Completed,48181,XD-20,DIRT Runtime that deploys an application context across multiple nodes using redis.,3,mark.fisher,0,3
43,1,Completed,48185,XD-24,Create pipes and filters DSL for ingestion,4,mark.fisher,0,2
43,1,Completed,48206,XD-28,Create simple gague service,3,mark.pollack,3,1
43,1,Completed,48208,XD-30,Create a simple counter service,3,mark.pollack,3,1
43,1,Completed,48268,XD-35,Create CI process for XD build,2,hillert,1,1
43,1,Completed,48270,XD-37,Gradle based multi-project build,2,thomas.risberg,2,2
43,1,Completed,48365,XD-40,Build script that creates an executable server as an artifact,4,mark.fisher,2,2
43,1,Completed,48409,XD-41,Add JUnit @Rule so Tests Fail Fast with Clear Messaging if Redis Not Available,4,grussell,1,1
43,1,Punted,48119,XD-1,HDFS ItemWriter,4,mminella,0,1
43,1,Punted,48120,XD-2,HDFS Core writing helper classes,4,mark.pollack,0,1
43,1,Punted,48188,XD-27,Gemfire CQ module for ingestion,4,dturanski,0,1
43,1,Punted,48207,XD-29,Create rich gauge service,3,luke,3,2
43,1,Punted,48209,XD-31,Create field-value counters,3,mark.pollack,3,2
43,1,Punted,48269,XD-36,SI Outbound HDFS Channel Adapter,3,mark.fisher,1,2
43,3,Completed,48119,XD-1,HDFS ItemWriter,4,mminella,1,1
43,3,Completed,48184,XD-23,add file source and sink modules,4,mark.fisher,1,1
43,3,Completed,48450,XD-44,Redis based repositories should use a NamingStrategy class to calculate the name of the key to use for persistence,4,luke,1,1
43,3,Completed,48455,XD-47,HDFS sink module,3,mark.fisher,1,1
43,3,Completed,48477,XD-50,Add tap support to DIRT,3,mark.fisher,2,2
43,3,Completed,48480,XD-51,Add xd.stream.name property in StreamPlugin,4,mark.fisher,1,1
43,3,Completed,48481,XD-52,add twitter search source module,4,mark.fisher,1,1
43,3,Completed,48498,XD-54,XD Metrics backed Message Counter,4,mark.pollack,1,1
43,3,Completed,48501,XD-57,add counter module,4,mark.fisher,1,1
43,3,Punted,48132,XD-13,Tail file channel adapters,4,grussell,2,8
43,3,Punted,48207,XD-29,Create rich gauge service,3,luke,2,5
43,3,Punted,48209,XD-31,Create field-value counters,3,mark.pollack,2,5
43,3,Punted,48269,XD-36,SI Outbound HDFS Channel Adapter,3,mark.fisher,2,3
43,3,Punted,48449,XD-43,Metric repositories should support Spring Data CrudRepository interface,4,luke,2,5
43,3,Punted,48451,XD-45,Remove the expiry of keys in Redis based repositories,4,luke,1,1
43,3,Punted,48475,XD-49,Move Redis Queue Channel Adapters into spring-integration-redis,4,hillert,0,0
43,3,Punted,48499,XD-55,SI ServiceActivator for an XD Metrics backed Field Value Counter,4,mark.pollack,0,0
43,3,CompletedInNotherSprint,48458,XD-48,Parameterizable streams,3,mark.fisher,2,2
43,4,Completed,48128,XD-9,Basic implementation of a reactor based tcp server,4,grussell,13,13
43,4,Completed,48132,XD-13,Tail file channel adapters,4,grussell,8,8
43,4,Completed,48188,XD-27,Gemfire CQ module for ingestion,4,dturanski,1,1
43,4,Completed,48207,XD-29,Create rich gauge service,3,luke,5,5
43,4,Completed,48209,XD-31,Create field-value counters,3,mark.pollack,5,5
43,4,Completed,48269,XD-36,SI Outbound HDFS Channel Adapter,3,mark.fisher,3,3
43,4,Completed,48449,XD-43,Metric repositories should support Spring Data CrudRepository interface,4,luke,5,5
43,4,Completed,48499,XD-55,SI ServiceActivator for an XD Metrics backed Field Value Counter,4,mark.pollack,1,3
43,4,Completed,48500,XD-56,Switch to use Lettuce driver for Redis,4,mark.pollack,2,2
43,4,Completed,48538,XD-61,Create distributable artifact that contains server application and start/stop scripts,4,wkoh,8,8
43,4,Completed,48540,XD-62,Use the tuple data structure to process data in a spring batch step ,4,mminella,5,5
43,4,Completed,48541,XD-63,Document tuple data structure on XD wiki,4,null,2,2
43,4,Completed,48545,XD-65,Gemfire Sink to update a gemfire cache.,4,dturanski,2,2
43,4,Completed,48561,XD-67,Submit a brew-based install for Spring XD,4,wkoh,8,8
43,4,Completed,48604,XD-70,Create general structure for AsciiDoc based wiki and Spring XD guide.,4,mark.pollack,2,2
43,4,Punted,48475,XD-49,Move Redis Queue Channel Adapters into spring-integration-redis,4,hillert,0,0
43,4,Punted,48497,XD-53,Design and document desired high level DSL for configuring data processing in XD,3,mark.pollack,13,13
