sprintId,sprintName,sprintState,sprintStartDate,sprintEndDate,sprintCompleteDate,totalNumberOfIssues,completedIssuesCount,issuesNotCompletedInCurrentSprint,puntedIssues,issuesCompletedInAnotherSprint,issueKeysAddedDuringSprint,completedIssuesInitialEstimateSum,completedIssuesEstimateSum,puntedIssuesInitialEstimateSum,puntedIssuesEstimateSum,issuesNotCompletedInitialEstimateSum,issuesNotCompletedEstimateSum,issuesCompletedInAnotherSprintInitialEstimateSum,issuesCompletedInAnotherSprintEstimateSum,NoOfDevelopers,SprintLength
1,Sprint 1,CLOSED,15-Apr-13,29-Apr-13,6-May-13,23,11,0,6,0,15,12,18,7,9,0,0,0,0,8,21
3,Sprint 2,CLOSED,6-May-13,10-May-13,14-May-13,26,9,0,8,1,7,10,10,11,27,0,0,2,2,6,8
4,Sprint 3,CLOSED,15-May-13,20-May-13,20-May-13,23,15,0,4,0,1,70,72,15,15,0,0,0,0,9,6
5,Sprint 4,CLOSED,20-May-13,24-May-13,28-May-13,48,28,0,10,0,17,63,58,20,21,0,0,0,0,10,8
6,Sprint 5,CLOSED,28-May-13,3-Jun-13,3-Jun-13,35,22,3,1,8,7,65,66,1,1,17,12,17,17,10,6
8,Sprint 6,CLOSED,3-Jun-13,12-Jun-13,17-Jun-13,61,57,0,1,2,33,150,151,5,5,0,0,6,6,11,14
9,Sprint 7,CLOSED,18-Jun-13,21-Jun-13,25-Jun-13,21,13,0,4,0,7,51,39,11,11,0,0,0,0,8,7
10,Sprint 8,CLOSED,25-Jun-13,28-Jun-13,1-Jul-13,26,23,0,1,1,6,116,107,20,0,0,0,1,1,9,6
11,Sprint 9,CLOSED,1-Jul-13,5-Jul-13,8-Jul-13,241,22,12,102,3,108,49,48,271,283,41,26,5,5,15,7
13,Sprint 10,CLOSED,8-Jul-13,12-Jul-13,16-Jul-13,43,37,3,1,1,9,75,77,1,1,6,6,3,3,12,8
15,Sprint 11,CLOSED,16-Jul-13,19-Jul-13,22-Jul-13,44,32,0,6,0,8,68,67,32,32,0,0,0,0,11,6
16,Sprint 12,CLOSED,22-Jul-13,31-Jul-13,12-Aug-13,136,112,0,12,0,90,271,277,34,34,0,0,0,0,15,21
18,Sprint 13,CLOSED,12-Aug-13,20-Aug-13,20-Aug-13,26,17,0,4,1,13,52,48,16,16,0,0,1,1,9,8
19,Sprint 14,CLOSED,20-Aug-13,29-Aug-13,29-Aug-13,41,29,0,5,2,12,108,111,24,24,0,0,4,4,10,9
20,Sprint 15,CLOSED,29-Aug-13,5-Sep-13,11-Sep-13,44,30,0,7,0,22,113,110,36,36,0,0,0,0,9,13
21,Sprint 16,CLOSED,18-Sep-13,10-Oct-13,10-Oct-13,50,39,0,5,1,26,142,139,34,34,0,0,1,1,14,22
