key,issueType,sprint,status,summary,description,storyPoint,priority,watchcount,fixVersions,affectedVersions,assignee,creator,reporter,commentCount,votes,issueLinks,blockedBy,blocks,dependedOnBy,dependedOn,subtasks
USERGRID-273,Story,1,Closed,5 Cleanup test harness and create a more declarative test framework,Currently our test harnesses are a mess of spaghetti.  We need to decouple this mess and allow us to cleanly define the rules and requirements of our system.  I think we need to break it down into the following behaviors.h1. Test Execution Environmentsh2. Parallel ExecutionThis should be the default behavior.  All tests are assumed to be parallelh2. Serial ExecutionThis should be the exception and only used when parallel execution cannot be accomplished.  Tests in this classification should run in a method at a time with no concurrencyh1. External resourcesh2. Cassandra# Configure the runtime# Pre invocation hook## Create default implementation of truncating column families.  This should be manually added and not execute by default.# Post invocation hookh2. ElasticSearch # Configure the runtime# Pre invocation hook## Create default implementation of truncating column families.  This should be manually added and not execute by default.# Post invocation hookh1. LifecycleA test itself can have numerous lifecycle operations.  These should be set up as rules both class and instance and should NOT be done via inheritance of abstract tests.  This is the old Junit3 way of operating and needs removed.,8,3,2,2,0,David Johnson,Todd Nine,Todd Nine,5,0,5,4,4,0,0,0
USERGRID-293,Story,1,Closed,Oversee release of 1.0.1,null,null,3,3,2,0,David Johnson,Rod Simpson,Rod Simpson,3,0,0,0,0,0,0,0
USERGRID-254,Story,1,Closed,1 Add Event system to Collections module use it to clean up old indices,When the Core module EntityManager deletes or updates Entities in the Collections module the Query Index records for the old versions of that Entity need to be deleted.To enable this we added an eventing system to the Collections module so that callers can hook into entity create update and delete events.And we added event handlers to clean up the Query Index records for those events. See the new package in Collections module:   org.apache.usergrid.persistence.collection.eventAnd in Core:   org.apache.usergrid.corepersistence.events,null,3,2,1,0,David Johnson,David Johnson,Todd Nine,9,0,0,0,0,0,0,0
USERGRID-288,Improvement,1,Closed,Update GEO Tests to work with new REST test framework,Fix the Geo tests to bring them up to standard.,null,3,2,1,0,ryan bridges,George Reyes,George Reyes,9,0,0,0,0,0,0,0
USERGRID-267,Story,1,Closed,Rework broken Scheduler Tests in two-dot-o branch,Our move to the using external Cassandra and ElasticSearch instances during testing cause the Scheduler tests in the Core and Services Module to fail when run multiple times unless you clear the Cassandra and ElasticSearch storage files between each run.One instance of this problem is: SchedulerRuntimeIntervalIT in the Core Module,null,3,2,0,0,null,David Johnson,David Johnson,1,0,1,1,1,0,0,0
USERGRID-268,Story,1,Closed,3 Rework broken Migration tests in two-dot-o branch,Our move to the using external Cassandra and ElasticSearch instances during testing cause the Migration tests in the Core Module to fail when run multiple times unless you clear the Cassandra and ElasticSearch storage files between each run.The two tests are in Core:- EntityDataMigrationIT- EntityTypeMappingMigrationIT,null,3,2,0,0,null,David Johnson,David Johnson,1,0,1,1,1,0,0,0
USERGRID-302,Story,1,Closed,Update Group Tests to work with new REST Test Framework,null,null,3,1,1,0,Rod Simpson,Rod Simpson,Rod Simpson,0,0,0,0,0,0,0,0
USERGRID-269,Story,1,Closed,fix broken notifications services test,null,null,3,1,1,0,Shawn Feldman,Shawn Feldman,Shawn Feldman,0,0,0,0,0,0,0,0
USERGRID-276,Story,1,Closed,Implement Collection/Entity calls for new REST testing framework,null,null,3,1,1,0,George Reyes,George Reyes,George Reyes,1,0,0,0,0,0,0,0
USERGRID-295,Story,1,Closed,Create ways to post organizations using new REST test framework,null,null,3,1,1,0,George Reyes,George Reyes,George Reyes,1,0,0,0,0,0,0,0
USERGRID-296,Story,1,Closed,Create ways to create users in new REST test framework,null,null,3,1,1,0,Shawn Feldman,George Reyes,George Reyes,0,0,0,0,0,0,0,0
USERGRID-299,Story,1,Closed,Create way to get management token and store it using the rest test framework,null,null,3,1,1,0,Shawn Feldman,George Reyes,George Reyes,0,0,0,0,0,0,0,0
USERGRID-298,Story,1,Closed,test,null,null,3,1,1,0,null,Rod Simpson,Rod Simpson,0,0,0,0,0,0,0,0
USERGRID-279,Story,60,Closed,Update Browser Compatibility to work with new REST test framework,Update all role tests to use the new test framework,null,3,4,1,0,Rod Simpson,Todd Nine,Todd Nine,4,0,0,0,0,0,0,0
