sprintId,sprintName,sprintState,sprintStartDate,sprintEndDate,sprintCompleteDate,total,completedIssuesCount,issuesNotCompletedInCurrentSprint,puntedIssues,issuesCompletedInAnotherSprint,issueKeysAddedDuringSprint,completedIssuesInitialEstimateSum,completedIssuesEstimateSum,puntedIssuesInitialEstimateSum,puntedIssuesEstimateSum,issuesNotCompletedInitialEstimateSum,issuesNotCompletedEstimateSum,issuesCompletedInAnotherSprintInitialEstimateSum,issuesCompletedInAnotherSprintEstimateSum1,NoOfDevelopers,SprintLength
1,Usergrid 0,CLOSED,10-Jul-13,24-Jul-13,3-Jan-15,19,7,6,3,0,16,0,0,0,0,0,0,0,0,6,14
60,Usergrid 1,CLOSED,5-Jan-15,19-Jan-15,12-Jan-15,14,5,7,0,2,3,0,0,0,0,0,0,0,0,5,14
61,Usergrid 2,CLOSED,12-Jan-15,26-Jan-15,20-Jan-15,18,0,17,0,1,9,0,0,0,0,0,0,0,0,6,14
64,Usergrid 3,CLOSED,20-Jan-15,3-Feb-15,26-Jan-15,20,2,17,0,1,2,0,0,0,0,0,0,0,0,6,14
70,Usergrid 4,CLOSED,26-Jan-15,9-Feb-15,2-Feb-15,28,3,24,0,1,0,0,0,0,0,0,0,0,0,7,14
71,Usergrid 5,CLOSED,4-Feb-15,18-Feb-15,9-Feb-15,24,0,20,0,4,0,0,0,0,0,0,0,0,0,7,14
78,Usergrid 6,CLOSED,9-Feb-15,17-Feb-15,16-Feb-15,28,3,25,0,0,3,2,2,0,0,34,41,0,0,7,8
79,Usergrid 7,CLOSED,17-Feb-15,3-Mar-15,18-Feb-15,30,0,29,0,1,2,0,0,0,0,46,51,0,0,7,14
82,Usergrid 8,CLOSED,18-Feb-15,4-Mar-15,4-Mar-15,45,26,0,9,1,14,49,51,21,40,0,0,5,5,8,14
83,Usergrid 9,CLOSED,5-Mar-15,11-Mar-15,11-Mar-15,26,10,10,3,0,9,22,27,11,11,24,24,0,0,6,6
97,Usergrid 10,CLOSED,11-Mar-15,18-Mar-15,16-Mar-15,23,10,11,1,0,17,15,15,8,8,11,11,0,0,5,7
98,Usergrid 11,CLOSED,16-Mar-15,30-Mar-15,24-Mar-15,25,15,6,2,0,17,19,30,11,11,14,14,0,0,5,14
103,Usergrid 12,CLOSED,25-Mar-15,8-Apr-15,1-Apr-15,26,4,2,10,0,3,15,15,25,26,8,8,0,0,7,14
107,Usergrid 13,CLOSED,1-Apr-15,15-Apr-15,8-Apr-15,27,11,10,3,0,9,22,26,11,11,27,21,0,0,7,14
109,Usergrid 14,CLOSED,8-Apr-15,22-Apr-15,21-Apr-15,28,8,14,3,0,4,24,24,9,9,37,37,0,0,9,14
114,Usergrid 15,CLOSED,21-Apr-15,28-Apr-15,29-Apr-15,25,12,2,5,1,10,28,25,5,5,3,3,3,3,9,7
123,Usergrid 16,CLOSED,29-Apr-15,13-May-15,6-May-15,22,5,3,7,0,1,8,8,27,24,4,4,0,0,5,14
124,Usergrid 17,CLOSED,6-May-15,13-May-15,13-May-15,34,15,17,1,0,10,32,32,3,3,40,40,0,0,8,7
125,Usergrid 18,CLOSED,13-May-15,27-May-15,20-May-15,22,6,15,0,1,2,16,12,0,0,34,34,1,1,7,14
126,Usergrid 19,CLOSED,20-May-15,3-Jun-15,27-May-15,31,4,22,2,1,7,12,10,7,7,32,36,0,0,7,14
129,Usergrid 20,CLOSED,28-May-15,3-Jun-15,3-Jun-15,39,28,9,1,0,15,44,47,0,3,19,19,0,0,7,6
133,Usergrid 21,CLOSED,3-Jun-15,17-Jun-15,10-Jun-15,33,16,6,5,1,18,23,28,0,8,17,19,2,2,8,14
138,Usergrid 22,CLOSED,10-Jun-15,17-Jun-15,17-Jun-15,38,12,14,5,2,11,27,27,17,17,22,23,6,6,9,7
140,Usergrid 23,CLOSED,17-Jun-15,1-Jul-15,1-Jul-15,23,15,8,0,0,9,19,26,0,0,16,16,0,0,9,14
146,Usergrid 24,CLOSED,1-Jul-15,15-Jul-15,8-Jul-15,17,6,10,0,1,3,16,16,0,0,22,22,3,3,7,14
152,Usergrid 25,CLOSED,15-Jul-15,22-Jul-15,22-Jul-15,24,9,13,0,2,2,17,17,0,0,41,41,5,5,9,7
153,Usergrid 26,CLOSED,22-Jul-15,29-Jul-15,29-Jul-15,27,11,14,0,2,19,31,33,0,0,31,31,3,5,10,7
157,Usergrid 27,CLOSED,29-Jul-15,5-Aug-15,25-Aug-15,27,20,1,1,4,8,49,53,5,5,0,0,3,6,7,7
176,Usergrid 28,CLOSED,26-Aug-15,2-Sep-15,2-Sep-15,13,7,5,0,1,1,16,17,0,0,17,20,1,1,6,7
177,Usergrid 29,CLOSED,2-Sep-15,9-Sep-15,18-Sep-15,25,10,8,2,3,9,28,31,5,5,32,32,0,0,7,7
178,Usergrid 30,CLOSED,16-Sep-15,23-Sep-15,27-Oct-15,39,21,6,6,0,23,47,50,17,17,16,16,0,0,8,7
186,Usergrid 31,CLOSED,27-Oct-15,9-Nov-15,9-Nov-15,25,18,7,0,0,13,33,34,0,0,19,27,0,0,6,13
